"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2001","1,097.40","1,081.00","1,099.20","1,081.00","-","1.52%"
"Oct 10, 2001","1,081.00","1,055.30","1,081.60","1,052.70","-","2.29%"
"Oct 09, 2001","1,056.80","1,062.90","1,063.40","1,053.80","-","-0.53%"
"Oct 08, 2001","1,062.40","1,060.30","1,071.40","1,056.90","-","-0.84%"
"Oct 05, 2001","1,071.40","1,069.60","1,072.30","1,053.50","-","0.17%"
"Oct 04, 2001","1,069.60","1,072.30","1,084.10","1,067.80","-","-0.25%"
"Oct 03, 2001","1,072.30","1,042.90","1,075.40","1,041.50","-","2.00%"
"Oct 02, 2001","1,051.30","1,037.60","1,051.30","1,034.50","-","1.23%"
"Oct 01, 2001","1,038.50","1,037.90","1,040.90","1,026.80","-","-0.23%"
"Sep 28, 2001","1,040.90","1,028.50","1,040.90","1,018.60","-","2.19%"
"Sep 27, 2001","1,018.60","1,007.00","1,018.90","998.20","-","1.15%"
"Sep 26, 2001","1,007.00","1,012.30","1,020.30","1,002.60","-","-0.52%"
"Sep 25, 2001","1,012.30","1,003.50","1,017.10","998.30","-","0.88%"
"Sep 24, 2001","1,003.50","965.80","1,008.40","965.80","-","3.90%"
"Sep 21, 2001","965.80","984.50","984.50","944.80","-","-1.90%"
"Sep 20, 2001","984.50","1,016.10","1,016.10","984.50","-","-3.11%"
"Sep 19, 2001","1,016.10","1,032.70","1,038.90","984.60","-","-1.61%"
"Sep 18, 2001","1,032.70","1,038.80","1,046.40","1,029.20","-","-0.59%"
"Sep 17, 2001","1,038.80","1,092.50","1,092.50","1,037.50","-","-4.92%"
"Sep 10, 2001","1,092.50","1,085.80","1,096.90","1,073.20","-","0.62%"
"Sep 07, 2001","1,085.80","1,106.40","1,106.40","1,082.10","-","-1.86%"
"Sep 06, 2001","1,106.40","1,131.70","1,131.70","1,105.80","-","-2.24%"
"Sep 05, 2001","1,131.70","1,132.90","1,135.50","1,114.90","-","-0.11%"
"Sep 04, 2001","1,132.90","1,133.60","1,155.40","1,129.10","-","-0.06%"
"Aug 31, 2001","1,133.60","1,129.00","1,141.80","1,126.40","-","0.41%"
"Aug 30, 2001","1,129.00","1,148.60","1,151.80","1,124.90","-","-1.71%"
"Aug 29, 2001","1,148.60","1,161.50","1,167.00","1,147.40","-","-1.11%"
"Aug 28, 2001","1,161.50","1,179.20","1,179.70","1,161.20","-","-1.50%"
"Aug 27, 2001","1,179.20","1,184.90","1,186.80","1,178.10","-","-0.48%"
"Aug 24, 2001","1,184.90","1,162.10","1,185.20","1,162.10","-","1.96%"
"Aug 23, 2001","1,162.10","1,165.30","1,169.90","1,161.00","-","-0.27%"
"Aug 22, 2001","1,165.30","1,157.30","1,168.60","1,153.30","-","0.69%"
"Aug 21, 2001","1,157.30","1,171.40","1,179.80","1,156.60","-","-1.20%"
"Aug 20, 2001","1,171.40","1,162.00","1,171.40","1,160.90","-","0.81%"
"Aug 17, 2001","1,162.00","1,181.70","1,181.70","1,156.10","-","-1.67%"
"Aug 16, 2001","1,181.70","1,178.00","1,181.80","1,166.10","-","0.31%"
"Aug 15, 2001","1,178.00","1,186.70","1,191.20","1,177.60","-","-0.73%"
"Aug 14, 2001","1,186.70","1,191.30","1,198.80","1,184.30","-","-0.39%"
"Aug 13, 2001","1,191.30","1,190.20","1,193.80","1,185.10","-","0.09%"
"Aug 10, 2001","1,190.20","1,183.40","1,193.30","1,169.50","-","0.57%"
"Aug 09, 2001","1,183.40","1,183.50","1,184.70","1,174.70","-","-0.01%"
"Aug 08, 2001","1,183.50","1,204.40","1,206.80","1,181.30","-","-1.74%"
"Aug 07, 2001","1,204.40","1,200.50","1,207.60","1,195.60","-","0.32%"
"Aug 06, 2001","1,200.50","1,214.30","1,214.30","1,197.30","-","-1.14%"
"Aug 03, 2001","1,214.30","1,220.80","1,220.80","1,205.30","-","-0.53%"
"Aug 02, 2001","1,220.80","1,215.90","1,226.30","1,215.30","-","0.40%"
"Aug 01, 2001","1,215.90","1,211.20","1,223.00","1,211.20","-","0.39%"
"Jul 31, 2001","1,211.20","1,204.50","1,222.70","1,204.50","-","0.56%"
"Jul 30, 2001","1,204.50","1,205.80","1,209.00","1,200.40","-","-0.11%"
"Jul 27, 2001","1,205.80","1,202.90","1,209.30","1,196.00","-","0.24%"
"Jul 26, 2001","1,202.90","1,190.50","1,204.20","1,182.70","-","1.04%"
"Jul 25, 2001","1,190.50","1,171.70","1,190.50","1,171.30","-","1.60%"
"Jul 24, 2001","1,171.70","1,191.00","1,191.00","1,165.50","-","-1.62%"
"Jul 23, 2001","1,191.00","1,210.80","1,215.20","1,190.50","-","-1.64%"
"Jul 20, 2001","1,210.80","1,215.00","1,215.70","1,207.00","-","-0.35%"
"Jul 19, 2001","1,215.00","1,207.70","1,225.00","1,205.80","-","0.60%"
"Jul 18, 2001","1,207.70","1,214.40","1,214.40","1,198.30","-","-0.55%"
"Jul 17, 2001","1,214.40","1,202.50","1,215.40","1,196.10","-","0.99%"
"Jul 16, 2001","1,202.50","1,215.70","1,219.60","1,200.00","-","-1.09%"
"Jul 13, 2001","1,215.70","1,208.10","1,218.50","1,203.60","-","0.63%"
"Jul 12, 2001","1,208.10","1,180.20","1,210.20","1,180.20","-","2.36%"
"Jul 11, 2001","1,180.20","1,181.50","1,184.90","1,168.50","-","-0.11%"
"Jul 10, 2001","1,181.50","1,198.80","1,203.40","1,179.90","-","-1.44%"
"Jul 09, 2001","1,198.80","1,190.60","1,201.80","1,189.80","-","0.69%"
"Jul 06, 2001","1,190.60","1,219.20","1,219.20","1,188.70","-","-2.35%"
"Jul 05, 2001","1,219.20","1,234.50","1,234.50","1,219.20","-","-1.24%"
"Jul 03, 2001","1,234.50","1,236.70","1,236.70","1,229.40","-","-0.18%"
"Jul 02, 2001","1,236.70","1,224.40","1,239.80","1,224.00","-","1.00%"
"Jun 29, 2001","1,224.40","1,226.20","1,237.30","1,221.10","-","-0.15%"
"Jun 28, 2001","1,226.20","1,211.10","1,234.40","1,211.10","-","1.25%"
"Jun 27, 2001","1,211.10","1,216.80","1,219.90","1,207.30","-","-0.47%"
"Jun 26, 2001","1,216.80","1,218.60","1,220.70","1,204.60","-","-0.15%"
"Jun 25, 2001","1,218.60","1,225.30","1,231.50","1,213.60","-","-0.55%"
"Jun 22, 2001","1,225.30","1,237.00","1,237.70","1,221.40","-","-0.95%"
"Jun 21, 2001","1,237.00","1,223.10","1,240.20","1,220.20","-","1.14%"
"Jun 20, 2001","1,223.10","1,212.60","1,225.60","1,210.10","-","0.87%"
"Jun 19, 2001","1,212.60","1,208.40","1,226.10","1,207.70","-","0.35%"
"Jun 18, 2001","1,208.40","1,214.40","1,221.20","1,208.30","-","-0.49%"
"Jun 15, 2001","1,214.40","1,219.90","1,221.50","1,203.00","-","-0.45%"
"Jun 14, 2001","1,219.90","1,241.60","1,241.60","1,218.90","-","-1.75%"
"Jun 13, 2001","1,241.60","1,255.80","1,259.80","1,241.60","-","-1.13%"
"Jun 12, 2001","1,255.80","1,254.40","1,261.00","1,235.80","-","0.11%"
"Jun 11, 2001","1,254.40","1,265.00","1,265.00","1,249.20","-","-0.84%"
"Jun 08, 2001","1,265.00","1,277.00","1,277.10","1,260.00","-","-0.94%"
"Jun 07, 2001","1,277.00","1,270.00","1,277.10","1,265.10","-","0.55%"
"Jun 06, 2001","1,270.00","1,283.60","1,283.80","1,269.00","-","-1.06%"
"Jun 05, 2001","1,283.60","1,267.10","1,286.60","1,267.10","-","1.30%"
"Jun 04, 2001","1,267.10","1,260.70","1,267.20","1,256.40","-","0.51%"
"Jun 01, 2001","1,260.70","1,255.80","1,265.30","1,246.90","-","0.39%"
"May 31, 2001","1,255.80","1,248.10","1,261.90","1,248.10","-","0.62%"
"May 30, 2001","1,248.10","1,267.90","1,267.90","1,246.00","-","-1.56%"
"May 29, 2001","1,267.90","1,277.90","1,278.40","1,265.40","-","-0.78%"
"May 25, 2001","1,277.90","1,293.20","1,293.20","1,276.40","-","-1.18%"
"May 24, 2001","1,293.20","1,289.00","1,295.00","1,281.20","-","0.33%"
"May 23, 2001","1,289.00","1,309.40","1,309.40","1,288.70","-","-1.56%"
"May 22, 2001","1,309.40","1,312.80","1,315.90","1,306.90","-","-0.26%"
"May 21, 2001","1,312.80","1,292.00","1,313.00","1,287.90","-","1.61%"
"May 18, 2001","1,292.00","1,288.50","1,292.10","1,281.20","-","0.27%"
"May 17, 2001","1,288.50","1,285.00","1,296.50","1,282.70","-","0.27%"
"May 16, 2001","1,285.00","1,249.40","1,286.40","1,243.00","-","2.85%"
"May 15, 2001","1,249.40","1,248.90","1,257.50","1,245.40","-","0.04%"
"May 14, 2001","1,248.90","1,245.70","1,249.70","1,241.00","-","0.26%"
"May 11, 2001","1,245.70","1,255.20","1,259.80","1,240.80","-","-0.76%"
"May 10, 2001","1,255.20","1,255.50","1,268.10","1,254.60","-","-0.02%"
"May 09, 2001","1,255.50","1,261.20","1,261.70","1,247.80","-","-0.45%"
"May 08, 2001","1,261.20","1,266.70","1,267.00","1,253.00","-","-0.18%"
"May 07, 2001","1,263.50","1,266.60","1,270.00","1,259.20","-","-0.24%"
"May 04, 2001","1,266.60","1,248.60","1,267.50","1,232.00","-","1.44%"
"May 03, 2001","1,248.60","1,267.40","1,267.40","1,239.90","-","-1.48%"
"May 02, 2001","1,267.40","1,266.40","1,272.90","1,257.70","-","0.08%"
"May 01, 2001","1,266.40","1,249.50","1,266.50","1,243.50","-","1.35%"
"Apr 30, 2001","1,249.50","1,253.00","1,269.30","1,244.00","-","-0.28%"
"Apr 27, 2001","1,253.00","1,234.50","1,253.10","1,234.50","-","1.50%"
"Apr 26, 2001","1,234.50","1,228.80","1,248.30","1,228.80","-","0.46%"
"Apr 25, 2001","1,228.80","1,209.50","1,232.40","1,207.40","-","1.60%"
"Apr 24, 2001","1,209.50","1,224.40","1,233.50","1,208.90","-","-1.22%"
"Apr 23, 2001","1,224.40","1,243.00","1,243.00","1,217.50","-","-1.50%"
"Apr 20, 2001","1,243.00","1,253.70","1,253.70","1,234.40","-","-0.85%"
"Apr 19, 2001","1,253.70","1,238.20","1,253.70","1,233.40","-","1.25%"
"Apr 18, 2001","1,238.20","1,191.80","1,248.40","1,191.80","-","3.89%"
"Apr 17, 2001","1,191.80","1,179.70","1,192.20","1,168.90","-","1.03%"
"Apr 16, 2001","1,179.70","1,183.50","1,184.60","1,167.40","-","-0.32%"
"Apr 12, 2001","1,183.50","1,165.90","1,183.50","1,157.70","-","1.51%"
"Apr 11, 2001","1,165.90","1,168.40","1,182.20","1,160.30","-","-0.21%"
"Apr 10, 2001","1,168.40","1,137.60","1,173.90","1,137.60","-","2.71%"
"Apr 09, 2001","1,137.60","1,128.40","1,146.10","1,126.40","-","0.82%"
"Apr 06, 2001","1,128.40","1,151.40","1,151.40","1,119.30","-","-2.00%"
"Apr 05, 2001","1,151.40","1,103.20","1,151.50","1,103.20","-","4.37%"
"Apr 04, 2001","1,103.20","1,106.50","1,117.50","1,092.00","-","-0.30%"
"Apr 03, 2001","1,106.50","1,145.90","1,145.90","1,100.20","-","-3.44%"
"Apr 02, 2001","1,145.90","1,160.30","1,169.50","1,137.50","-","-1.24%"
"Mar 30, 2001","1,160.30","1,148.00","1,162.80","1,143.80","-","1.07%"
"Mar 29, 2001","1,148.00","1,153.30","1,161.70","1,136.30","-","-0.46%"
"Mar 28, 2001","1,153.30","1,182.20","1,182.20","1,147.80","-","-2.44%"
"Mar 27, 2001","1,182.20","1,152.70","1,183.40","1,151.00","-","2.56%"
"Mar 26, 2001","1,152.70","1,139.80","1,160.00","1,139.80","-","1.13%"
"Mar 23, 2001","1,139.80","1,117.60","1,141.80","1,117.60","-","1.99%"
"Mar 22, 2001","1,117.60","1,122.10","1,124.30","1,081.20","-","-0.40%"
"Mar 21, 2001","1,122.10","1,142.60","1,149.40","1,118.70","-","-1.79%"
"Mar 20, 2001","1,142.60","1,170.80","1,180.60","1,142.20","-","-2.41%"
"Mar 19, 2001","1,170.80","1,150.50","1,173.50","1,147.20","-","1.76%"
"Mar 16, 2001","1,150.50","1,173.60","1,173.60","1,148.60","-","-1.97%"
"Mar 15, 2001","1,173.60","1,166.70","1,182.00","1,166.70","-","0.59%"
"Mar 14, 2001","1,166.70","1,197.70","1,197.70","1,155.30","-","-2.59%"
"Mar 13, 2001","1,197.70","1,180.20","1,197.80","1,171.50","-","1.48%"
"Mar 12, 2001","1,180.20","1,233.40","1,233.40","1,176.80","-","-4.31%"
"Mar 09, 2001","1,233.40","1,264.70","1,264.70","1,228.40","-","-2.47%"
"Mar 08, 2001","1,264.70","1,261.90","1,266.50","1,257.60","-","0.22%"
"Mar 07, 2001","1,261.90","1,253.80","1,263.90","1,253.80","-","0.65%"
"Mar 06, 2001","1,253.80","1,241.40","1,267.40","1,241.40","-","1.00%"
"Mar 05, 2001","1,241.40","1,234.20","1,242.50","1,234.00","-","0.58%"
"Mar 02, 2001","1,234.20","1,241.20","1,251.00","1,219.70","-","-0.56%"
"Mar 01, 2001","1,241.20","1,239.90","1,241.40","1,214.50","-","0.10%"
"Feb 28, 2001","1,239.90","1,257.90","1,263.50","1,229.70","-","-1.43%"
"Feb 27, 2001","1,257.90","1,267.70","1,272.80","1,252.30","-","-0.77%"
"Feb 26, 2001","1,267.70","1,245.90","1,267.70","1,241.70","-","1.75%"
"Feb 23, 2001","1,245.90","1,252.80","1,252.80","1,215.40","-","-0.55%"
"Feb 22, 2001","1,252.80","1,255.30","1,259.90","1,228.30","-","-0.20%"
"Feb 21, 2001","1,255.30","1,278.90","1,283.00","1,253.20","-","-1.85%"
"Feb 20, 2001","1,278.90","1,301.50","1,307.20","1,278.40","-","-1.74%"
"Feb 16, 2001","1,301.50","1,326.60","1,326.60","1,293.20","-","-1.89%"
"Feb 15, 2001","1,326.60","1,315.90","1,331.30","1,315.90","-","0.81%"
"Feb 14, 2001","1,315.90","1,318.80","1,320.70","1,304.70","-","-0.22%"
"Feb 13, 2001","1,318.80","1,330.30","1,336.60","1,317.50","-","-0.86%"
"Feb 12, 2001","1,330.30","1,314.80","1,331.00","1,313.60","-","1.18%"
"Feb 09, 2001","1,314.80","1,332.50","1,332.50","1,310.00","-","-1.33%"
"Feb 08, 2001","1,332.50","1,341.10","1,350.30","1,332.40","-","-0.63%"
"Feb 07, 2001","1,340.90","1,352.30","1,352.30","1,334.30","-","-0.84%"
"Feb 06, 2001","1,352.30","1,354.30","1,363.50","1,350.00","-","-0.15%"
"Feb 05, 2001","1,354.30","1,349.50","1,354.60","1,344.50","-","0.36%"
"Feb 02, 2001","1,349.50","1,373.50","1,376.40","1,348.70","-","-1.75%"
"Feb 01, 2001","1,373.50","1,366.00","1,373.50","1,359.30","-","0.55%"
"Jan 31, 2001","1,366.00","1,373.70","1,383.40","1,364.70","-","-0.56%"
"Jan 30, 2001","1,373.70","1,364.20","1,375.70","1,356.20","-","0.70%"
"Jan 29, 2001","1,364.20","1,354.90","1,365.50","1,350.40","-","0.68%"
"Jan 26, 2001","1,355.00","1,357.50","1,357.50","1,342.80","-","-0.18%"
"Jan 25, 2001","1,357.50","1,364.30","1,367.30","1,354.60","-","-0.50%"
"Jan 24, 2001","1,364.30","1,360.40","1,369.80","1,357.30","-","0.29%"
"Jan 23, 2001","1,360.40","1,342.90","1,362.90","1,339.60","-","1.30%"
"Jan 22, 2001","1,342.90","1,342.50","1,353.60","1,333.80","-","0.03%"
"Jan 19, 2001","1,342.50","1,348.00","1,354.50","1,336.70","-","-0.41%"
"Jan 18, 2001","1,348.00","1,329.90","1,352.70","1,327.40","-","1.39%"
"Jan 17, 2001","1,329.50","1,326.70","1,346.90","1,325.40","-","0.21%"
"Jan 16, 2001","1,326.70","1,318.30","1,327.80","1,313.30","-","0.64%"
"Jan 12, 2001","1,318.30","1,326.80","1,333.20","1,311.60","-","-0.64%"
"Jan 11, 2001","1,326.80","1,313.30","1,332.20","1,309.70","-","1.03%"
"Jan 10, 2001","1,313.30","1,300.80","1,313.80","1,287.30","-","0.96%"
"Jan 09, 2001","1,300.80","1,295.90","1,311.70","1,295.10","-","0.38%"
"Jan 08, 2001","1,295.90","1,298.30","1,298.30","1,276.30","-","-0.18%"
"Jan 05, 2001","1,298.30","1,333.30","1,334.80","1,295.00","-","-2.63%"
"Jan 04, 2001","1,333.30","1,347.60","1,350.20","1,329.10","-","-1.06%"
"Jan 03, 2001","1,347.60","1,283.30","1,347.80","1,274.60","-","5.01%"
"Jan 02, 2001","1,283.30","1,320.30","1,320.30","1,276.00","-","-2.80%"
"Dec 29, 2000","1,320.30","1,334.20","1,340.10","1,317.50","-","-1.04%"
"Dec 28, 2000","1,334.20","1,328.90","1,335.90","1,325.80","-","0.40%"
"Dec 27, 2000","1,328.90","1,315.20","1,332.00","1,311.00","-","1.04%"
"Dec 26, 2000","1,315.20","1,306.00","1,315.90","1,301.60","-","0.70%"
"Dec 22, 2000","1,306.00","1,274.90","1,306.00","1,274.90","-","2.44%"
"Dec 21, 2000","1,274.90","1,264.70","1,285.30","1,254.10","-","0.81%"
"Dec 20, 2000","1,264.70","1,305.60","1,305.60","1,261.20","-","-3.13%"
"Dec 19, 2000","1,305.60","1,323.00","1,346.40","1,305.20","-","-1.29%"
"Dec 18, 2000","1,322.70","1,312.20","1,332.30","1,312.20","-","0.80%"
"Dec 15, 2000","1,312.20","1,340.90","1,340.90","1,305.40","-","-2.14%"
"Dec 14, 2000","1,340.90","1,360.00","1,360.00","1,340.50","-","-1.40%"
"Dec 13, 2000","1,360.00","1,371.20","1,385.80","1,358.50","-","-0.82%"
"Dec 12, 2000","1,371.20","1,380.20","1,380.30","1,370.30","-","-0.65%"
"Dec 11, 2000","1,380.20","1,369.90","1,389.00","1,364.10","-","0.75%"
"Dec 08, 2000","1,369.90","1,343.50","1,380.30","1,343.50","-","1.97%"
"Dec 07, 2000","1,343.50","1,351.50","1,353.50","1,339.30","-","-0.59%"
"Dec 06, 2000","1,351.50","1,376.50","1,376.50","1,346.20","-","-1.82%"
"Dec 05, 2000","1,376.50","1,325.00","1,376.60","1,325.00","-","3.89%"
"Dec 04, 2000","1,325.00","1,315.20","1,332.10","1,310.20","-","0.75%"
"Dec 01, 2000","1,315.20","1,315.00","1,334.70","1,307.00","-","0.02%"
"Nov 30, 2000","1,315.00","1,341.90","1,341.90","1,294.90","-","-2.00%"
"Nov 29, 2000","1,341.90","1,336.10","1,352.40","1,329.30","-","0.43%"
"Nov 28, 2000","1,336.10","1,349.00","1,358.80","1,335.00","-","-0.96%"
"Nov 27, 2000","1,349.00","1,341.80","1,362.50","1,341.80","-","0.54%"
"Nov 24, 2000","1,341.80","1,322.40","1,343.80","1,322.40","-","1.47%"
"Nov 22, 2000","1,322.40","1,347.30","1,347.30","1,321.90","-","-1.85%"
"Nov 21, 2000","1,347.30","1,342.60","1,355.90","1,333.60","-","0.35%"
"Nov 20, 2000","1,342.60","1,367.70","1,367.70","1,341.70","-","-1.84%"
"Nov 17, 2000","1,367.70","1,372.30","1,384.80","1,355.50","-","-0.34%"
"Nov 16, 2000","1,372.30","1,389.80","1,394.70","1,370.40","-","-1.26%"
"Nov 15, 2000","1,389.80","1,383.00","1,396.00","1,374.80","-","0.49%"
"Nov 14, 2000","1,383.00","1,351.30","1,390.10","1,351.30","-","2.35%"
"Nov 13, 2000","1,351.30","1,366.00","1,366.00","1,328.60","-","-1.08%"
"Nov 10, 2000","1,366.00","1,400.10","1,400.10","1,366.00","-","-2.44%"
"Nov 09, 2000","1,400.10","1,409.30","1,409.30","1,369.70","-","-0.65%"
"Nov 08, 2000","1,409.30","1,431.90","1,437.30","1,408.80","-","-1.58%"
"Nov 07, 2000","1,431.90","1,432.20","1,436.20","1,423.30","-","-0.02%"
"Nov 06, 2000","1,432.20","1,428.80","1,438.50","1,427.70","-","0.39%"
"Nov 03, 2000","1,426.70","1,428.30","1,433.20","1,420.90","-","-0.11%"
"Nov 02, 2000","1,428.30","1,421.20","1,433.30","1,421.10","-","0.50%"
"Nov 01, 2000","1,421.20","1,429.40","1,429.60","1,410.50","-","-0.57%"
"Oct 31, 2000","1,429.40","1,398.70","1,432.20","1,398.70","-","2.19%"
"Oct 30, 2000","1,398.70","1,379.60","1,406.40","1,376.90","-","1.38%"
"Oct 27, 2000","1,379.60","1,364.40","1,384.60","1,364.10","-","1.11%"
"Oct 26, 2000","1,364.40","1,364.90","1,372.70","1,337.80","-","-0.04%"
"Oct 25, 2000","1,364.90","1,398.10","1,398.10","1,362.20","-","-2.37%"
"Oct 24, 2000","1,398.10","1,395.80","1,415.60","1,388.10","-","0.16%"
"Oct 23, 2000","1,395.80","1,396.90","1,407.00","1,387.80","-","-0.08%"
"Oct 20, 2000","1,396.90","1,388.80","1,408.50","1,382.20","-","0.58%"
"Oct 19, 2000","1,388.80","1,342.10","1,389.90","1,342.10","-","3.48%"
"Oct 18, 2000","1,342.10","1,350.00","1,356.70","1,305.80","-","-0.59%"
"Oct 17, 2000","1,350.00","1,374.60","1,381.00","1,342.30","-","-1.79%"
"Oct 16, 2000","1,374.60","1,374.20","1,379.50","1,365.10","-","0.03%"
"Oct 13, 2000","1,374.20","1,329.80","1,374.20","1,326.80","-","3.34%"
"Oct 12, 2000","1,329.80","1,364.60","1,374.90","1,328.10","-","-2.55%"
"Oct 11, 2000","1,364.60","1,387.00","1,387.00","1,349.70","-","-1.61%"
"Oct 10, 2000","1,387.00","1,402.00","1,408.80","1,383.80","-","-1.07%"
"Oct 09, 2000","1,402.00","1,409.00","1,409.70","1,392.50","-","-0.50%"
"Oct 06, 2000","1,409.00","1,436.30","1,443.30","1,397.10","-","-1.90%"
